timestamp,open,high,low,close,volume
2026-07-10T09:30:00-04:00,249.64,251.01,249.56,250.8717,942166.0
2026-07-10T09:31:00-04:00,250.98,251.03,249.49,250.36,246370.005196
2026-07-10T09:32:00-04:00,250.315,250.73,250.0885,250.445,93236.155508
2026-07-10T09:33:00-04:00,250.4,251.0,249.49,249.83,114784.54572
2026-07-10T09:34:00-04:00,249.795,249.81,248.85,249.07,101908.634279
2026-07-10T09:35:00-04:00,249.015,249.34,248.3867,248.48,106794.0
2026-07-10T09:36:00-04:00,248.43,249.15,248.23,248.69,69253.70955
2026-07-10T09:37:00-04:00,248.75,249.05,248.585,248.855,46220.0
2026-07-10T09:38:00-04:00,248.855,248.91,248.331,248.45,33899.933523
2026-07-10T09:39:00-04:00,248.51,249.42,248.4,249.26,81108.0
2026-07-10T09:40:00-04:00,249.27,249.32,248.7,249.125,79158.0
2026-07-10T09:41:00-04:00,249.16,249.2599,247.91,248.1,70028.0
2026-07-10T09:42:00-04:00,248.045,248.33,247.22,247.34,70879.0
2026-07-10T09:43:00-04:00,247.31,247.95,247.2101,247.89,49493.0
2026-07-10T09:44:00-04:00,247.89,248.08,247.7002,247.78,34368.5676
2026-07-10T09:45:00-04:00,247.78,247.78,246.93,247.03,63465.900939
2026-07-10T09:46:00-04:00,246.985,247.18,246.62,246.8151,43871.0
2026-07-10T09:47:00-04:00,246.795,247.01,246.705,246.91,54144.289661
2026-07-10T09:48:00-04:00,246.8617,246.96,246.62,246.7,41919.0
2026-07-10T09:49:00-04:00,246.72,246.84,246.42,246.56,32716.903687
2026-07-10T09:50:00-04:00,246.57,246.935,246.37,246.83,79239.663648
2026-07-10T09:51:00-04:00,246.82,247.01,246.8,246.9,59026.0
2026-07-10T09:52:00-04:00,246.86,246.89,246.7,246.885,32656.291139
2026-07-10T09:53:00-04:00,246.86,246.8999,246.25,246.67,40811.0
2026-07-10T09:54:00-04:00,246.6,246.93,246.6,246.79,33323.33914
2026-07-10T09:55:00-04:00,246.81,246.94,246.68,246.9,21114.0
2026-07-10T09:56:00-04:00,246.8982,246.94,246.65,246.815,31369.0
2026-07-10T09:57:00-04:00,246.82,247.21,246.7701,246.968,56278.33914
2026-07-10T09:58:00-04:00,246.975,247.02,246.63,246.66,31783.0
2026-07-10T09:59:00-04:00,246.62,246.7,245.81,245.83,55501.171624
2026-07-10T10:00:00-04:00,245.811,246.0399,245.521,245.605,68509.0
2026-07-10T10:01:00-04:00,245.62,245.65,245.3401,245.525,67504.0
2026-07-10T10:02:00-04:00,245.53,245.63,245.29,245.63,51697.0
2026-07-10T10:03:00-04:00,245.62,245.63,245.3,245.3,49479.0
2026-07-10T10:04:00-04:00,245.28,245.44,245.03,245.31,46223.0
2026-07-10T10:05:00-04:00,245.3,245.4197,245.03,245.3299,31676.811188
2026-07-10T10:06:00-04:00,245.305,245.485,245.17,245.3,38957.0
2026-07-10T10:07:00-04:00,245.29,245.32,244.885,245.12,89609.0
2026-07-10T10:08:00-04:00,245.145,245.65,245.1001,245.465,23410.113019
2026-07-10T10:09:00-04:00,245.47,245.7399,245.44,245.7036,45754.423742
2026-07-10T10:10:00-04:00,245.695,245.96,245.6301,245.9,60477.0
2026-07-10T10:11:00-04:00,245.88,246.14,245.8,246.0115,38400.0
2026-07-10T10:12:00-04:00,246.0,246.1895,245.8301,245.85,40227.78635
2026-07-10T10:13:00-04:00,245.88,246.035,245.76,246.015,16160.0
2026-07-10T10:14:00-04:00,245.98,246.18,245.85,245.96,30078.0
2026-07-10T10:15:00-04:00,245.97,246.365,245.95,246.29,29078.0
2026-07-10T10:16:00-04:00,246.25,246.33,246.13,246.22,28585.0
2026-07-10T10:17:00-04:00,246.22,246.63,246.19,246.59,68082.926195
2026-07-10T10:18:00-04:00,246.605,246.72,246.46,246.55,32718.0
2026-07-10T10:19:00-04:00,246.53,246.67,246.4901,246.57,21074.40567
2026-07-10T10:20:00-04:00,246.59,246.59,246.3978,246.495,24025.668756
2026-07-10T10:21:00-04:00,246.455,246.52,246.225,246.37,23945.0
2026-07-10T10:22:00-04:00,246.37,246.47,246.1,246.47,32650.0
2026-07-10T10:23:00-04:00,246.48,246.75,246.48,246.685,31207.40567
2026-07-10T10:24:00-04:00,246.72,246.78,246.345,246.775,37732.0
2026-07-10T10:25:00-04:00,246.75,246.77,246.285,246.34,21692.0
2026-07-10T10:26:00-04:00,246.345,246.6,246.32,246.49,16648.0
2026-07-10T10:27:00-04:00,246.43,246.59,246.215,246.51,16541.698916
2026-07-10T10:28:00-04:00,246.44,246.6,246.28,246.5381,12504.0
2026-07-10T10:29:00-04:00,246.52,246.52,246.1,246.18,13380.0
2026-07-10T10:30:00-04:00,246.23,246.26,246.1,246.14,27933.0
2026-07-10T10:31:00-04:00,246.15,246.22,246.06,246.185,27517.0
2026-07-10T10:32:00-04:00,246.2,246.36,245.2,245.21,102548.0
2026-07-10T10:33:00-04:00,245.16,245.3,244.41,245.1227,91357.0
2026-07-10T10:34:00-04:00,245.15,245.535,245.145,245.38,57989.0
2026-07-10T10:35:00-04:00,245.46,245.65,245.165,245.18,32537.0
2026-07-10T10:36:00-04:00,245.21,245.69,245.13,245.165,16973.244814
2026-07-10T10:37:00-04:00,245.17,245.47,245.1,245.3599,21698.0
2026-07-10T10:38:00-04:00,245.35,245.4751,245.2064,245.41,19988.647204
2026-07-10T10:39:00-04:00,245.45,245.45,245.13,245.3101,24195.0
2026-07-10T10:40:00-04:00,245.31,245.34,245.05,245.34,22803.0
2026-07-10T10:41:00-04:00,245.3,245.42,245.2363,245.41,11606.0
2026-07-10T10:42:00-04:00,245.43,245.44,245.25,245.265,16152.021021
2026-07-10T10:43:00-04:00,245.26,245.385,245.225,245.25,9761.0
2026-07-10T10:44:00-04:00,245.25,245.57,245.165,245.565,23756.0
2026-07-10T10:45:00-04:00,245.565,245.61,245.45,245.48,22391.0
2026-07-10T10:46:00-04:00,245.48,245.55,245.345,245.455,22832.0
2026-07-10T10:47:00-04:00,245.485,245.485,245.332,245.332,20679.004435
2026-07-10T10:48:00-04:00,245.33,245.51,245.28,245.44,9430.0
2026-07-10T10:49:00-04:00,245.445,245.68,245.445,245.605,17103.0
2026-07-10T10:50:00-04:00,245.63,245.77,245.38,245.45,33115.31743
2026-07-10T10:51:00-04:00,245.4201,245.6,245.4201,245.5699,20765.0
2026-07-10T10:52:00-04:00,245.57,245.6,245.45,245.475,20504.0
2026-07-10T10:53:00-04:00,245.475,245.48,245.29,245.43,25477.0
2026-07-10T10:54:00-04:00,245.43,245.625,245.37,245.46,119059.0
2026-07-10T10:55:00-04:00,245.45,245.5,245.185,245.43,25463.0
2026-07-10T10:56:00-04:00,245.35,245.368,245.04,245.13,22948.878392
2026-07-10T10:57:00-04:00,245.08,245.54,245.08,245.5349,13291.0
2026-07-10T10:58:00-04:00,245.5384,245.56,245.4,245.515,19162.0
2026-07-10T10:59:00-04:00,245.52,245.677,245.485,245.55,19119.0
2026-07-10T11:00:00-04:00,245.56,245.56,245.27,245.39,25992.0
2026-07-10T11:01:00-04:00,245.41,245.5,245.23,245.23,17235.0
2026-07-10T11:02:00-04:00,245.235,245.3,245.115,245.12,20723.0
2026-07-10T11:03:00-04:00,245.145,245.27,245.0563,245.2,22592.0
2026-07-10T11:04:00-04:00,245.15,245.19,244.675,244.74,41597.409191
2026-07-10T11:05:00-04:00,244.75,244.979,244.55,244.86,27881.0
2026-07-10T11:06:00-04:00,244.84,244.92,244.73,244.8989,18148.0
2026-07-10T11:07:00-04:00,244.91,245.0,244.815,244.97,19188.0
2026-07-10T11:08:00-04:00,244.975,245.16,244.975,245.145,19327.0
2026-07-10T11:09:00-04:00,245.15,245.27,245.12,245.165,12562.0
2026-07-10T11:10:00-04:00,245.2495,245.45,245.205,245.45,37311.0
2026-07-10T11:11:00-04:00,245.46,245.65,245.385,245.465,46270.0
2026-07-10T11:12:00-04:00,245.45,245.4899,245.33,245.43,13925.0
2026-07-10T11:13:00-04:00,245.425,245.425,245.24,245.285,24062.840914
2026-07-10T11:14:00-04:00,245.31,245.38,245.24,245.27,23986.156799
2026-07-10T11:15:00-04:00,245.27,245.32,245.2,245.315,16551.0
