timestamp,open,high,low,close,volume
2026-07-10T09:30:00-04:00,75.45,75.6986,74.4,74.57,645462.945691
2026-07-10T09:31:00-04:00,74.55,74.89,74.27,74.83,170684.279417
2026-07-10T09:32:00-04:00,74.83,74.83,74.48,74.69,117653.259823
2026-07-10T09:33:00-04:00,74.7196,74.77,74.16,74.22,310665.4348
2026-07-10T09:34:00-04:00,74.17,74.67,74.15,74.6,126883.382828
2026-07-10T09:35:00-04:00,74.58,74.67,74.46,74.6313,99443.0
2026-07-10T09:36:00-04:00,74.635,74.76,74.5501,74.72,72686.0
2026-07-10T09:37:00-04:00,74.72,74.73,74.43,74.53,224777.926894
2026-07-10T09:38:00-04:00,74.51,74.58,74.44,74.51,78448.767486
2026-07-10T09:39:00-04:00,74.505,74.74,74.46,74.7,84524.0
2026-07-10T09:40:00-04:00,74.7,74.7075,74.53,74.605,192361.211796
2026-07-10T09:41:00-04:00,74.61,74.635,74.21,74.21,119683.095238
2026-07-10T09:42:00-04:00,74.22,74.22,73.78,73.79,293766.947639
2026-07-10T09:43:00-04:00,73.79,74.06,73.58,73.99,261760.947639
2026-07-10T09:44:00-04:00,73.995,74.075,73.86,73.93,136940.0
2026-07-10T09:45:00-04:00,73.93,73.93,73.52,73.65,122731.829743
2026-07-10T09:46:00-04:00,73.65,73.7,73.48,73.5228,106715.0
2026-07-10T09:47:00-04:00,73.53,73.53,73.28,73.37,161807.42416
2026-07-10T09:48:00-04:00,73.369,73.42,73.255,73.4,149498.0
2026-07-10T09:49:00-04:00,73.409,73.42,73.18,73.25,156210.0
2026-07-10T09:50:00-04:00,73.2501,73.26,73.11,73.12,174035.780194
2026-07-10T09:51:00-04:00,73.135,73.39,73.13,73.375,127519.0
2026-07-10T09:52:00-04:00,73.375,73.42,73.33,73.4,92499.873039
2026-07-10T09:53:00-04:00,73.4,73.42,73.19,73.3255,75091.235374
2026-07-10T09:54:00-04:00,73.32,73.4,73.07,73.115,84224.552452
2026-07-10T09:55:00-04:00,73.1,73.29,73.08,73.165,79636.0
2026-07-10T09:56:00-04:00,73.17,73.5,73.16,73.44,112940.051051
2026-07-10T09:57:00-04:00,73.4499,73.49,73.3601,73.41,52802.138833
2026-07-10T09:58:00-04:00,73.42,73.42,73.3,73.3525,49132.802983
2026-07-10T09:59:00-04:00,73.34,73.34,73.1701,73.1822,96087.15678
2026-07-10T10:00:00-04:00,73.17,73.285,73.05,73.1451,105798.754684
2026-07-10T10:01:00-04:00,73.14,73.15,72.9,72.92,269915.43871
2026-07-10T10:02:00-04:00,72.9101,72.92,72.8194,72.83,154563.134253
2026-07-10T10:03:00-04:00,72.83,72.87,72.775,72.86,167075.170899
2026-07-10T10:04:00-04:00,72.855,72.93,72.82,72.92,69598.0
2026-07-10T10:05:00-04:00,72.91,73.1,72.91,73.04,395551.315583
2026-07-10T10:06:00-04:00,73.04,73.07,72.92,73.015,99441.912136
2026-07-10T10:07:00-04:00,73.0,73.1799,73.0,73.13,87277.641733
2026-07-10T10:08:00-04:00,73.1467,73.3,73.12,73.255,62613.822817
2026-07-10T10:09:00-04:00,73.27,73.3,73.135,73.175,79564.093466
2026-07-10T10:10:00-04:00,73.17,73.53,73.16,73.52,99681.0
2026-07-10T10:11:00-04:00,73.51,73.53,73.3514,73.3514,100669.408417
2026-07-10T10:12:00-04:00,73.3512,73.41,73.23,73.34,60650.0
2026-07-10T10:13:00-04:00,73.33,73.44,73.26,73.405,130806.0
2026-07-10T10:14:00-04:00,73.4161,73.4461,73.33,73.35,56102.0
2026-07-10T10:15:00-04:00,73.3572,73.3799,73.18,73.2911,66957.0
2026-07-10T10:16:00-04:00,73.2926,73.34,73.28,73.325,25260.287603
2026-07-10T10:17:00-04:00,73.335,73.37,73.31,73.3144,30050.0
2026-07-10T10:18:00-04:00,73.32,73.36,73.23,73.34,240251.791459
