timestamp,open,high,low,close,volume
2026-07-10T09:30:00-04:00,297.71,298.21,297.45,297.515,68660.0
2026-07-10T09:31:00-04:00,297.53,297.8,297.47,297.54,24004.0
2026-07-10T09:32:00-04:00,297.62,297.62,296.99,296.99,21778.0
2026-07-10T09:33:00-04:00,297.01,297.01,296.645,296.72,30284.0
2026-07-10T09:34:00-04:00,296.73,296.74,296.45,296.48,41343.0
2026-07-10T09:35:00-04:00,296.47,296.65,296.26,296.29,59629.0
2026-07-10T09:36:00-04:00,296.33,296.54,296.27,296.4,38386.0
2026-07-10T09:37:00-04:00,296.385,296.62,296.33,296.33,56006.0
2026-07-10T09:38:00-04:00,296.315,296.48,296.2101,296.2595,18767.0
2026-07-10T09:39:00-04:00,296.29,296.29,296.075,296.08,24384.63462
2026-07-10T09:40:00-04:00,296.085,296.13,295.62,295.67,110592.717654
2026-07-10T09:41:00-04:00,295.69,295.92,295.68,295.77,48552.0
2026-07-10T09:42:00-04:00,295.75,295.87,295.71,295.82,21022.0
2026-07-10T09:43:00-04:00,295.78,296.15,295.71,296.14,25724.0
2026-07-10T09:44:00-04:00,296.14,296.15,295.94,296.11,15676.0
2026-07-10T09:45:00-04:00,296.1,296.2398,296.02,296.14,31190.0
2026-07-10T09:46:00-04:00,296.12,296.49,296.12,296.395,19452.0
2026-07-10T09:47:00-04:00,296.3899,296.615,296.32,296.56,21287.0
2026-07-10T09:48:00-04:00,296.555,296.6,296.42,296.55,23506.0
2026-07-10T09:49:00-04:00,296.54,296.82,296.54,296.71,20499.0
2026-07-10T09:50:00-04:00,296.68,296.71,296.455,296.71,22518.0
2026-07-10T09:51:00-04:00,296.725,296.85,296.64,296.64,17340.0
2026-07-10T09:52:00-04:00,296.635,296.94,296.635,296.865,31141.0
2026-07-10T09:53:00-04:00,296.885,297.04,296.77,296.77,12303.0
2026-07-10T09:54:00-04:00,296.79,296.83,296.51,296.57,19888.0
2026-07-10T09:55:00-04:00,296.56,296.56,296.31,296.38,28679.0
2026-07-10T09:56:00-04:00,296.36,296.43,296.1949,296.22,10379.0
2026-07-10T09:57:00-04:00,296.22,296.32,296.05,296.15,18424.0
2026-07-10T09:58:00-04:00,296.16,296.36,296.16,296.22,10501.0
2026-07-10T09:59:00-04:00,296.22,296.32,296.2,296.29,11691.0
2026-07-10T10:00:00-04:00,296.3,296.315,295.93,296.04,23621.0
2026-07-10T10:01:00-04:00,295.98,296.46,295.97,296.36,27026.0
2026-07-10T10:02:00-04:00,296.33,296.46,296.22,296.245,9133.0
2026-07-10T10:03:00-04:00,296.225,296.26,296.13,296.16,7173.0
2026-07-10T10:04:00-04:00,296.185,296.24,295.96,296.06,34734.0
2026-07-10T10:05:00-04:00,296.02,296.14,295.99,296.14,19770.0
2026-07-10T10:06:00-04:00,296.14,296.23,296.05,296.06,13482.0
2026-07-10T10:07:00-04:00,296.065,296.12,295.92,295.93,14760.0
2026-07-10T10:08:00-04:00,295.98,296.0,295.7599,295.9,14768.0
2026-07-10T10:09:00-04:00,295.895,296.09,295.895,295.945,6745.0
2026-07-10T10:10:00-04:00,295.945,295.95,295.71,295.75,14661.0
2026-07-10T10:11:00-04:00,295.74,295.78,295.51,295.53,23249.0
2026-07-10T10:12:00-04:00,295.55,295.75,295.52,295.74,17495.0
2026-07-10T10:13:00-04:00,295.735,295.735,295.55,295.63,16639.0
2026-07-10T10:14:00-04:00,295.61,295.61,295.38,295.46,30590.0
2026-07-10T10:15:00-04:00,295.41,295.41,295.24,295.26,44153.0
2026-07-10T10:16:00-04:00,295.275,295.49,295.275,295.41,38355.0
2026-07-10T10:17:00-04:00,295.41,295.55,295.35,295.46,24389.0
2026-07-10T10:18:00-04:00,295.47,295.575,295.35,295.3801,24363.0
2026-07-10T10:19:00-04:00,295.34,295.42,295.259,295.295,13086.0
2026-07-10T10:20:00-04:00,295.31,295.36,295.15,295.1901,16497.0
2026-07-10T10:21:00-04:00,295.18,295.23,295.0,295.1,30401.0
2026-07-10T10:22:00-04:00,295.08,295.28,295.04,295.25,15457.0
2026-07-10T10:23:00-04:00,295.24,295.38,295.165,295.33,12850.0
2026-07-10T10:24:00-04:00,295.34,295.48,295.28,295.28,21061.0
2026-07-10T10:25:00-04:00,295.24,295.33,295.071,295.24,46916.0
2026-07-10T10:26:00-04:00,295.22,295.56,295.17,295.55,68924.0
2026-07-10T10:27:00-04:00,295.57,295.76,295.515,295.69,63411.0
2026-07-10T10:28:00-04:00,295.68,295.9,295.645,295.86,16256.0
2026-07-10T10:29:00-04:00,295.87,295.91,295.74,295.74,7242.0
2026-07-10T10:30:00-04:00,295.73,295.89,295.71,295.87,10560.0
2026-07-10T10:31:00-04:00,295.875,295.97,295.7992,295.95,17539.0
2026-07-10T10:32:00-04:00,295.93,296.13,294.24,294.36,121325.0
2026-07-10T10:33:00-04:00,294.37,294.93,293.62,294.805,146985.0
2026-07-10T10:34:00-04:00,294.72,295.05,294.67,294.97,77306.0
2026-07-10T10:35:00-04:00,294.985,295.27,294.74,294.75,24101.0
2026-07-10T10:36:00-04:00,294.76,295.36,294.7,295.34,35205.0
2026-07-10T10:37:00-04:00,295.33,295.6,295.28,295.56,30592.0
2026-07-10T10:38:00-04:00,295.58,295.81,295.49,295.63,23099.0
2026-07-10T10:39:00-04:00,295.57,295.58,295.32,295.48,35266.0
2026-07-10T10:40:00-04:00,295.5,295.53,295.28,295.47,17064.0
2026-07-10T10:41:00-04:00,295.45,295.45,295.14,295.19,25518.0
2026-07-10T10:42:00-04:00,295.21,295.49,295.2,295.35,16013.0
2026-07-10T10:43:00-04:00,295.325,295.53,295.3,295.46,20365.0
2026-07-10T10:44:00-04:00,295.48,295.79,295.39,295.66,12072.0
2026-07-10T10:45:00-04:00,295.67,295.78,295.57,295.74,16949.0
2026-07-10T10:46:00-04:00,295.695,295.76,295.65,295.7301,6872.0
2026-07-10T10:47:00-04:00,295.73,295.75,295.58,295.67,13804.0
2026-07-10T10:48:00-04:00,295.635,295.76,295.5,295.55,20250.0
2026-07-10T10:49:00-04:00,295.56,295.85,295.56,295.82,8411.0
2026-07-10T10:50:00-04:00,295.77,295.84,295.69,295.71,16637.0
2026-07-10T10:51:00-04:00,295.65,295.83,295.65,295.66,10973.0
2026-07-10T10:52:00-04:00,295.65,295.65,295.32,295.395,44072.0
2026-07-10T10:53:00-04:00,295.38,295.47,295.2,295.35,44190.0
2026-07-10T10:54:00-04:00,295.36,295.36,295.14,295.14,9422.0
2026-07-10T10:55:00-04:00,295.15,295.23,294.92,294.92,19010.0
2026-07-10T10:56:00-04:00,294.9051,294.97,294.82,294.9101,17288.0
2026-07-10T10:57:00-04:00,294.94,295.06,294.88,294.92,9741.0
2026-07-10T10:58:00-04:00,294.94,294.98,294.73,294.78,19197.0
2026-07-10T10:59:00-04:00,294.775,294.86,294.72,294.83,16373.0
2026-07-10T11:00:00-04:00,294.84,294.93,294.69,294.92,10004.0
2026-07-10T11:01:00-04:00,294.89,294.96,294.67,294.7,18156.0
2026-07-10T11:02:00-04:00,294.71,294.81,294.61,294.72,11001.0
2026-07-10T11:03:00-04:00,294.71,294.87,294.66,294.82,9685.0
2026-07-10T11:04:00-04:00,294.78,294.85,294.61,294.65,16063.0
2026-07-10T11:05:00-04:00,294.64,294.8,294.55,294.72,28534.0
2026-07-10T11:06:00-04:00,294.7,294.74,294.59,294.71,14246.0
2026-07-10T11:07:00-04:00,294.7,294.97,294.7,294.955,16753.0
2026-07-10T11:08:00-04:00,294.97,295.055,294.93,295.03,23069.0
2026-07-10T11:09:00-04:00,295.03,295.04,294.88,294.89,8088.0
2026-07-10T11:10:00-04:00,294.89,295.05,294.89,295.015,9140.0
2026-07-10T11:11:00-04:00,295.0087,295.015,294.83,294.89,11453.0
2026-07-10T11:12:00-04:00,294.91,294.91,294.74,294.79,9395.0
2026-07-10T11:13:00-04:00,294.76,294.96,294.75,294.925,6185.0
